direction_mode,gamma,trials,theta_bias_deg,theta_std_deg,atan_gamma_deg,residual_rms_m,noise_floor_m,residual_over_floor
单方向,0.0,1000,0.01589669284534823,1.129570768251373,0.0,0.09941507260819457,0.1,0.9941507260819457
单方向,0.05,1000,2.900239075727618,1.1249405058108954,2.862405226111748,0.099340493631579,0.1,0.99340493631579
单方向,0.1,1000,5.667544655438224,1.1280970054851873,5.710593137499643,0.09956159163802696,0.1,0.9956159163802695
单方向,0.2,1000,11.292138337188936,1.1707104851442585,11.309932474020215,0.0995485493838481,0.1,0.9954854938384811
多方向,0.0,1000,-0.004629175851249494,1.173510880592797,0.0,0.0991242113286085,0.1,0.991242113286085
多方向,0.05,1000,1.4035781427515495,1.1812520897026064,2.862405226111748,0.09995866500209752,0.1,0.9995866500209751
多方向,0.1,1000,2.888760890205036,1.1891960884614767,5.710593137499643,0.1023560754836471,0.1,1.023560754836471
多方向,0.2,1000,5.7130455638987385,1.3351510075683828,11.309932474020215,0.11109614594692943,0.1,1.1109614594692943
