path,speed_mps,mode,n_valid,bias_deg,std_deg,rmse_deg
straight,0.3,aligned,300,0.0030451578856459664,0.15093643744250368,0.15096715250140788
straight,0.3,latest,300,0.004243397795380304,0.15810859575531577,0.15816552872407974
straight,0.3,interp,300,0.017466029889468642,0.25187042428263035,0.25247529152060016
straight,1.0,aligned,300,-0.008923493487448232,0.16775147075790334,0.1679886444896209
straight,1.0,latest,300,-0.00044197388670748057,0.16090862908638612,0.16090923607853194
straight,1.0,interp,300,-0.008979143808248592,0.3664672274584654,0.3665772140008484
straight,2.0,aligned,300,-0.0012812464815545488,0.15831974075603117,0.15832492509268217
straight,2.0,latest,300,0.0028106723243430318,0.15967751080289352,0.1597022458674987
straight,2.0,interp,300,-0.009500174006400373,0.2881372262237926,0.28829379882698297
serpentine,0.3,aligned,300,-0.002416751364488332,0.15189110934731856,0.15191033469095125
serpentine,0.3,latest,300,-0.001093792367559672,0.1555149080390342,0.15551875450932792
serpentine,0.3,interp,300,-0.016629974818092606,0.25349902654617323,0.2540439184910905
serpentine,1.0,aligned,300,-0.013573898540262993,0.17600676363153472,0.17652940708456563
serpentine,1.0,latest,300,-0.09175947490284177,0.17272046317383669,0.19558159328891336
serpentine,1.0,interp,300,0.000663372943544142,0.3283539887857658,0.32835465889063464
serpentine,2.0,aligned,300,-0.002170956786923389,0.15380387191172942,0.15381919278298906
serpentine,2.0,latest,300,-0.014980983549938051,0.15492800204787138,0.1556506205791315
serpentine,2.0,interp,300,0.0159806861124919,0.27358878749669574,0.27405511666914395
