omega_deg_per_s,n_seg,trials,window_mean_err_deg,window_rmse_deg,batch_mean_err_deg,batch_rmse_deg,window_lag_theory_deg
0.01,1200,30,-0.19173737266633328,1.1932386468856797,-2.554079766819914,2.5763328852971132,-0.12250000000000001
0.1,1200,30,-1.1608235378354248,1.6196000949644596,-25.413361978015995,25.54700244568923,-1.225
0.5,1200,30,-6.158105081694971,6.270781488117552,-127.44339493784679,128.106194304673,-6.125
