outlier_mag_m,outlier_prob,trials,rmse_plain_deg,rmse_huber_deg,p95_plain_deg,p95_huber_deg
0.5,0.0,400,1.1458263212924167,1.2045255653116849,2.244509865906812,2.3716326079655974
0.5,0.02,400,1.727870821123322,1.27106807278553,3.7136900956774843,2.6253549121366473
0.5,0.05,400,1.9344265250464676,1.2033662489987982,3.595675746720637,2.202569948862133
0.5,0.1,400,2.8939449246444657,1.6348772159986822,5.698925187451157,3.04992324430044
0.5,0.2,400,3.6904959906134085,2.929277165563613,7.326900868479352,5.869123753089015
2.0,0.0,400,1.1441435516314722,1.181141297858431,2.2687599430887193,2.356304613065048
2.0,0.02,400,4.882157066371819,1.3050450631474062,9.88761667120375,2.6395808950294524
2.0,0.05,400,7.740996037257629,1.3178147739288182,15.23330106488587,2.674207181301007
2.0,0.1,400,9.761473287803943,1.6239946619239995,18.80437520378193,2.997126942372802
2.0,0.2,400,14.691918375587269,6.301151390012493,29.02066787379902,13.547396569108793
5.0,0.0,400,1.1766713372413002,1.218724533406956,2.3969586159540768,2.5502472290986145
5.0,0.02,400,11.665227947212266,1.2643048880067482,27.28229611108664,2.550668111823935
5.0,0.05,400,25.941105059370567,1.346869746950081,44.68024145900668,2.665351808134506
5.0,0.1,400,30.65965854301611,1.7415283273569035,62.363073154985024,3.46001982937724
5.0,0.2,400,47.73361414956052,18.019464114255385,95.08361859039147,12.697167324392115
