estimator,W,d_min,pairing,robust,n_segments,bias_deg,std_deg,rmse_deg,final_err_deg,t_converge_s
sliding,5,0.3,latest,0,5,-0.6577320505607842,3.151598290148673,3.2195004632400557,-0.10799325927263077,109.30003356933594
sliding,5,0.5,latest,0,5,0.08425341229478103,2.7032659631704274,2.704578618772073,0.9644032683176199,103.10993695259094
sliding,5,1.0,latest,0,5,0.2267028834817861,0.9157137785088346,0.9433588508780121,0.2453935160440422,81.76028895378113
sliding,5,2.0,latest,0,5,0.22241498039249735,0.34253760187410315,0.4084120862568303,-0.051059081230207415,47.32211875915527
sliding,10,0.3,latest,0,10,-0.6938482537940109,1.804416718258005,1.9332214287096,-3.4983166029778197,nan
sliding,10,0.5,latest,0,10,0.1784030350356578,1.714485458394444,1.7237424488466775,0.13075173857388916,99.96997547149658
sliding,10,1.0,latest,0,10,0.5103926598705899,0.8823092441170552,1.0192989107735697,0.8513550747080613,81.76028895378113
sliding,10,2.0,latest,0,10,0.9081595145774685,0.43535368398457897,1.0071179345421906,0.16744863966689846,47.32211875915527
sliding,20,0.3,latest,0,20,-0.3580348243400657,1.1994721539006898,1.251767703459145,-0.9778924209794396,102.23996138572693
sliding,20,0.5,latest,0,20,-0.12536178657290306,1.0088538245923528,1.0166128156419079,1.5564480749478937,101.78989815711975
sliding,20,1.0,latest,0,20,0.1649820363628262,0.6682737960796862,0.6883378086733133,1.0380431393888354,18.709946870803833
sliding,20,2.0,latest,0,13,1.1649448522323227,0.15953344528351626,1.1758177702801642,0.8907118925423512,47.32211875915527
sliding,50,0.3,latest,0,50,-0.30718936996141294,0.652722195216085,0.721395573277931,0.05108895577080218,8.79000186920166
sliding,50,0.5,latest,0,50,-0.5690100975489425,0.6935649534422992,0.8971091548725135,0.2822212074560925,40.470062494277954
sliding,50,1.0,latest,0,31,-0.18657170422151678,0.6047585615245906,0.6328838112587596,0.469747118395551,18.709946870803833
sliding,50,2.0,latest,0,13,1.1649448522323227,0.15953344528351626,1.1758177702801642,0.8907118925423512,47.32211875915527
sliding,100,0.3,latest,0,100,-0.392862685531723,0.5652067639290375,0.688331152625197,-0.19947250196975666,8.79000186920166
sliding,100,0.5,latest,0,68,-0.6602002499942838,0.6128594784828882,0.9008113623055788,0.017584275948702932,40.470062494277954
sliding,100,1.0,latest,0,31,-0.18657170422151678,0.6047585615245906,0.6328838112587596,0.469747118395551,18.709946870803833
sliding,100,2.0,latest,0,13,1.1649448522323227,0.15953344528351626,1.1758177702801642,0.8907118925423512,47.32211875915527
sliding,200,0.3,latest,0,114,-0.34691327272070765,0.5692259272531915,0.6666085620865124,-0.11274218260869297,8.79000186920166
sliding,200,0.5,latest,0,68,-0.6602002499942838,0.6128594784828882,0.9008113623055788,0.017584275948702932,40.470062494277954
sliding,200,1.0,latest,0,31,-0.18657170422151678,0.6047585615245906,0.6328838112587596,0.469747118395551,18.709946870803833
sliding,200,2.0,latest,0,13,1.1649448522323227,0.15953344528351626,1.1758177702801642,0.8907118925423512,47.32211875915527
batch,-1,0.5,latest,0,68,-0.6602002499942838,0.6128594784828882,0.9008113623055788,0.017584275948702932,40.470062494277954
sliding,50,0.5,latest,0,50,-0.5690100975489425,0.6935649534422992,0.8971091548725135,0.2822212074560925,40.470062494277954
sliding,50,0.5,interp,0,50,-0.4933971945859724,0.7592912336967556,0.9055186189107595,0.4981098128668257,40.470062494277954
sliding,50,0.5,latest,0,50,-0.5690100975489425,0.6935649534422992,0.8971091548725135,0.2822212074560925,40.470062494277954
sliding,50,0.5,latest,1,50,-0.7537938540818333,0.8059475184251348,1.1035200845055686,0.2805060178926797,84.9801173210144
