t,nx01_global_err_m,nx02_global_err_m,inter_agent_err_m,nx01_theta_deg,nx02_theta_deg
1788405731.3935544,0.005198015620178767,0.008185405445448607,0.005289850145960725,0.0,0.0
1788405731.403375,0.005152073940869799,0.008183161491226693,0.005313215825249262,0.0,0.0
1788405731.4134657,0.005152073940869799,0.00818280919375233,0.005312452955977917,0.0,0.0
1788405731.4234703,0.005152073940869799,0.00818280919375233,0.005312452955977917,0.0,0.0
1788405731.4333787,0.005150969774534096,0.008182033142732244,0.005315595748318573,0.0,0.0
1788405731.4433866,0.005149847212606499,0.008179334653477099,0.005309246602050344,0.0,0.0
1788405731.4533896,0.005149847212606499,0.008179334653477099,0.005309246602050344,0.0,0.0
1788405731.4634874,0.005149847212606499,0.008179334653477099,0.005309246602050344,0.0,0.0
1788405731.4734037,0.005149577354568088,0.00817940959087045,0.00531073963612916,0.0,0.0
1788405731.4834752,0.005149063283107335,0.008179218781955242,0.005310939958741266,0.0,0.0
1788405731.4933832,0.005114295991859573,0.008178967879437631,0.00530286454774464,0.0,0.0
1788405731.5034347,0.005114295991859573,0.008178967879437631,0.00530286454774464,0.0,0.0
1788405731.513381,0.005113244236551495,0.008178800244644593,0.005303967459483236,0.0,0.0
1788405731.523312,0.005111752799356997,0.008177948034838357,0.00530300920475057,0.0,0.0
1788405731.533436,0.005111478246245266,0.008177501533425429,0.00530158275418002,0.0,0.0
1788405731.5434165,0.005111478246245266,0.008177501533425429,0.00530158275418002,0.0,0.0
1788405731.5533535,0.0051103504730253034,0.0081771490542094,0.005301893504704249,0.0,0.0
1788405731.5639217,0.005143577355277518,0.00817626719537629,0.005252181678449147,0.0,0.0
1788405731.573498,0.005143371850899399,0.008176153576923067,0.005251827125512461,0.0,0.0
1788405731.5834634,0.005143371850899399,0.008176153576923067,0.005251827125512461,0.0,0.0
1788405731.593413,0.005142126559979376,0.008175928659979285,0.00524990572424485,0.0,0.0
1788405731.6034107,0.005140950714858048,0.008165404442321115,0.005234973386183681,0.0,0.0
1788405731.6134398,0.005140950714858048,0.008165404442321115,0.005234973386183681,0.0,0.0
1788405731.623332,0.005140824508181633,0.0081654044423552,0.005235048485983406,0.0,0.0
1788405731.6335022,0.005140503222502027,0.008165775789692442,0.0052354217484909685,0.0,0.0
1788405731.643478,0.005126277899218835,0.008166243231697061,0.0052763526692963135,0.0,0.0
1788405731.6534445,0.005126277899218835,0.008166243231697061,0.0052763526692963135,0.0,0.0
1788405731.663342,0.005125585813415944,0.008166075281657947,0.005276748542074086,0.0,0.0
1788405731.6733212,0.005124218305087481,0.008165214716047905,0.005276412949528364,0.0,0.0
1788405731.6834126,0.005122432074358013,0.008179713544745946,0.005315946809694193,0.0,0.0
1788405731.693435,0.005122432074358013,0.008179533970128657,0.005315925027056323,0.0,0.0
1788405731.70342,0.005122432074358013,0.008179533970128657,0.005315925027056323,0.0,0.0
1788405731.713442,0.005120674514912777,0.00817929262637959,0.005316471816466993,0.0,0.0
1788405731.7233634,0.0051247479457357786,0.008176561112630376,0.005303553961512038,0.0,0.0
