sigma_m,d_m,W,noise_struct,direction,trials,std_emp_deg,std_eq13_deg,std_chained_theory_deg,ratio_emp_over_eq13,ratio_emp_over_chained,bias_emp_deg
0.02,0.3,1,chained,single,2000,5.447237019416911,5.401897896942637,5.401897896942637,1.0083931839030011,1.0083931839030011,0.08154389491276129
0.02,0.3,1,chained,multi,2000,5.595536572610839,5.401897896942637,5.401897896942637,1.0358464153455766,1.0358464153455766,0.10776727626079176
0.02,0.3,1,indep,single,2000,5.483330831233782,5.401897896942637,5.401897896942637,1.0150748747652625,1.0150748747652625,0.09197140499663971
0.02,0.3,1,indep,multi,2000,5.459335655069055,5.401897896942637,5.401897896942637,1.0106328848160806,1.0106328848160806,-0.05425469518777583
0.02,0.3,2,chained,single,2000,2.620969042098313,3.819718634205488,2.7009489484713183,0.6861680906618615,0.9703882198816559,0.02714289155104145
0.02,0.3,2,chained,multi,2000,3.7988687697754053,3.819718634205488,3.819718634205488,0.994541518256509,0.994541518256509,0.06392943174996675
0.02,0.3,2,indep,single,2000,3.8241331101028115,3.819718634205488,3.819718634205488,1.0011557070873733,1.0011557070873733,0.19188628537193375
0.02,0.3,2,indep,multi,2000,3.89938101999445,3.819718634205488,3.819718634205488,1.02085556383017,1.02085556383017,-0.04578262020541174
0.02,0.3,5,chained,single,2000,1.062177627513374,2.415802181015378,1.0803795793885274,0.43967905810356284,0.9831522622026464,0.04655978164808386
0.02,0.3,5,chained,multi,2000,2.462986065886814,2.415802181015378,2.415802181015378,1.019531352874102,1.019531352874102,0.00344386492255243
0.02,0.3,5,indep,single,2000,2.3740864778426563,2.415802181015378,2.415802181015378,0.9827321526983687,0.9827321526983687,0.008635111222336131
0.02,0.3,5,indep,multi,2000,2.4488456033277144,2.415802181015378,2.415802181015378,1.0136780331485784,1.0136780331485784,0.032779722487468965
0.02,0.3,10,chained,single,2000,0.5494656556714285,1.7082301042012251,0.5401897896942637,0.32165786934680013,1.0171714944527455,-0.003123204532784543
0.02,0.3,10,chained,multi,2000,1.7378814338308224,1.7082301042012251,1.7082301042012251,1.0173579247647448,1.0173579247647448,-0.03486219096254406
0.02,0.3,10,indep,single,2000,1.6777977434909295,1.7082301042012251,1.7082301042012251,0.9821848586818309,0.9821848586818309,-0.0725303559007081
0.02,0.3,10,indep,multi,2000,1.6758633567126673,1.7082301042012251,1.7082301042012251,0.9810524662872085,0.9810524662872085,-0.0004204577354330941
0.02,0.3,20,chained,single,2000,0.27110123580547824,1.207901090507689,0.27009489484713184,0.2244399296729938,1.0037258792281727,-0.0045522851906995695
0.02,0.3,20,chained,multi,2000,1.2270317077693755,1.207901090507689,1.207901090507689,1.015837900480449,1.015837900480449,0.0008302655350105468
0.02,0.3,20,indep,single,2000,1.1860086850562834,1.207901090507689,1.207901090507689,0.9818756638077013,0.9818756638077013,0.0005189873027296935
0.02,0.3,20,indep,multi,2000,1.2344702572633914,1.207901090507689,1.207901090507689,1.0219961443569319,1.0219961443569319,0.00017251264763501318
0.02,0.3,50,chained,single,2000,0.10606265210022091,0.7639437268410977,0.10803795793885272,0.13883568694096002,0.9817165570664544,0.0003700017210843845
0.02,0.3,50,chained,multi,2000,0.7600290596113526,0.7639437268410977,0.7639437268410977,0.9948757125790767,0.9948757125790767,0.03517685675571914
0.02,0.3,50,indep,single,2000,0.7659942001092045,0.7639437268410977,0.7639437268410977,1.0026840632314444,1.0026840632314444,-0.002114711685445892
0.02,0.3,50,indep,multi,2000,0.7597378797259206,0.7639437268410977,0.7639437268410977,0.994494559000349,0.994494559000349,-0.005431623845068644
