t,nx01_global_err_m,nx02_global_err_m,inter_agent_err_m,nx01_theta_deg,nx02_theta_deg
1788409883.0323236,0.5883043657753987,0.5885932616729584,0.003569807884259385,0.0,0.0
1788409883.042365,0.5883043657753987,0.5885932616729584,0.003569807884259385,0.0,0.0
1788409883.0523484,0.5883043657753987,0.5885932616729584,0.003569807884259385,0.0,0.0
1788409883.0623682,0.5883053599452208,0.5885922439112407,0.0035697950267351178,0.0,0.0
1788409883.072324,0.5883102950186535,0.5885867242243273,0.003570153471835833,0.0,0.0
1788409883.082434,0.5883155273325318,0.5885812645997861,0.003570282739086412,0.0,0.0
1788409883.0923991,0.5883155273325318,0.5885812645997861,0.003570282739086412,0.0,0.0
1788409883.1023798,0.5883155273325318,0.5885812645997861,0.003570282739086412,0.0,0.0
1788409883.112319,0.5883155273325318,0.5885812645997861,0.003570282739086412,0.0,0.0
1788409883.1223664,0.5883196987990362,0.58857822753746,0.0035708711440998213,0.0,0.0
1788409883.1324937,0.5883345909227751,0.5885727384349985,0.003593930395734304,0.0,0.0
1788409883.1422899,0.5883385832960155,0.5885700210113036,0.0035956579847965684,0.0,0.0
1788409883.1523092,0.5883385832960155,0.5885700210113036,0.0035956579847965684,0.0,0.0
1788409883.1623394,0.5883385832960155,0.5885700210113036,0.0035956579847965684,0.0,0.0
1788409883.1722775,0.5883449530809127,0.5885661301466972,0.0035986791887920467,0.0,0.0
1788409883.182426,0.5883516602155082,0.5886495095813682,0.0035871956683887294,0.0,0.0
1788409883.1924074,0.5883531359271402,0.5886486899807982,0.0035878320573807638,0.0,0.0
1788409883.2023525,0.5883531359271402,0.5886486899807982,0.0035878320573807638,0.0,0.0
1788409883.212299,0.5883531359271402,0.5886486899807982,0.0035878320573807638,0.0,0.0
1788409883.2223344,0.588361051275839,0.5886472972825338,0.003590411332304697,0.0,0.0
1788409883.2323105,0.5883271888378345,0.5886453763638176,0.003575434090684471,0.0,0.0
1788409883.2424438,0.5883282617888816,0.588644869732199,0.0035755976357932,0.0,0.0
1788409883.2523866,0.5883282617888816,0.588644869732199,0.0035755976357932,0.0,0.0
1788409883.26229,0.588329312460817,0.588644869732199,0.003576174286462821,0.0,0.0
1788409883.272293,0.588334612781076,0.5886418957455362,0.003578445062551897,0.0,0.0
1788409883.2823324,0.5883401632838331,0.5886379460702366,0.0035797449842149987,0.0,0.0
1788409883.2924213,0.5883401632838331,0.5886372242544219,0.003579217478708036,0.0,0.0
1788409883.302362,0.5883401632838331,0.5886372242544219,0.003579217478708036,0.0,0.0
1788409883.3124466,0.5883401632838331,0.5886372242544219,0.003579217478708036,0.0,0.0
1788409883.32239,0.5883461093555903,0.5886349888069616,0.003580839388217887,0.0,0.0
1788409883.3323252,0.5883514349457025,0.5886321317237297,0.0035824177997117192,0.0,0.0
1788409883.3424027,0.5883514349457025,0.5886315753585083,0.0035819110077939106,0.0,0.0
1788409883.3523152,0.5883514349457025,0.5886315753585083,0.0035819110077939106,0.0,0.0
1788409883.36231,0.5883535315684214,0.5886310286609202,0.0035832665410066777,0.0,0.0
1788409883.372272,0.5883600159012468,0.5886289731886405,0.0035854337000099587,0.0,0.0
1788409883.3823006,0.5883656484975972,0.5886292499875787,0.003681462606846149,0.0,0.0
1788409883.3923795,0.5883656484975972,0.5886292499875787,0.003681462606846149,0.0,0.0
1788409883.4023955,0.5883656484975972,0.5886292499875787,0.003681462606846149,0.0,0.0
1788409883.412338,0.5883656484975972,0.5886292499875787,0.003681462606846149,0.0,0.0
1788409883.4222143,0.5883724383757565,0.5886286296607305,0.0036872997403202606,0.0,0.0
1788409883.432245,0.5883399080236403,0.5886285694900586,0.0036553929710535452,0.0,0.0
1788409883.4423938,0.5883431456914071,0.5886283326737884,0.003657477420943891,0.0,0.0
1788409883.4524186,0.5883431456914071,0.5886283326737884,0.003657477420943891,0.0,0.0
1788409883.4623935,0.5883431456914071,0.5886283326737884,0.003657477420943891,0.0,0.0
1788409883.4722764,0.588348394742289,0.5886283412792451,0.003660840567572759,0.0,0.0
1788409883.4822881,0.5883526413465767,0.5886330325650854,0.0037006780200640253,0.0,0.0
1788409883.492386,0.5883534195536553,0.5886332618905649,0.003702014152817958,0.0,0.0
1788409883.5023763,0.5883534195536553,0.5886332618905649,0.003702014152817958,0.0,0.0
1788409883.5123804,0.5883534195536553,0.5886332618905649,0.003702014152817958,0.0,0.0
1788409883.5223277,0.5883567303056789,0.588634297497937,0.0037083563422403007,0.0,0.0
1788409883.532297,0.5883402214344307,0.5886352110259551,0.0037062616628176785,0.0,0.0
1788409883.5423434,0.5883413604062069,0.5886357069364361,0.0037101996881206624,0.0,0.0
1788409883.55233,0.5883413604062069,0.5886357069364361,0.0037101996881206624,0.0,0.0
1788409883.5623226,0.5883413604062069,0.5886357069364361,0.0037101996881206624,0.0,0.0
1788409883.572233,0.5883434790789723,0.5886372050044221,0.003717005452101216,0.0,0.0
1788409883.582238,0.588346107487476,0.5886831253820913,0.0036787488082297157,0.0,0.0
1788409883.592337,0.5883465876843539,0.5886849232696941,0.0036805105401881704,0.0,0.0
1788409883.602471,0.5883465876843539,0.5886849232696941,0.0036805105401881704,0.0,0.0
1788409883.6123533,0.5883465876843539,0.5886849232696941,0.0036805105401881704,0.0,0.0
1788409883.6224008,0.5883471213589003,0.5886849232696941,0.003681338968714726,0.0,0.0
1788409883.6323476,0.5883499917360392,0.5886870305192538,0.003685814474377038,0.0,0.0
1788409883.6423297,0.5883270527938306,0.5886892125732599,0.0036513203337361663,0.0,0.0
1788409883.6523743,0.5883272024778731,0.5886904533662076,0.003652264382055952,0.0,0.0
1788409883.6624258,0.5883272024778731,0.5886904533662076,0.003652264382055952,0.0,0.0
1788409883.6724043,0.5883272024778731,0.5886904533662076,0.003652264382055952,0.0,0.0
1788409883.6822975,0.5883269161837805,0.5886924545920856,0.003654682089228998,0.0,0.0
1788409883.6923025,0.5883263180938276,0.5886878297771625,0.003651707703542798,0.0,0.0
